"Year","Month","AbsoluteTemperature"
2000,1,-25.4652546918392
2000,2,-20.0943347046773
2000,3,-16.2976513163249
2000,4,-9.47223713866008
2000,11,-16.809899549596
2000,12,-26.9046870205179
2001,1,-19.9571524800857
2001,2,-21.9412696526448
2001,3,-18.7653750766224
2001,4,-7.66076665094122
2001,11,-17.7243856478358
2001,12,-23.8615253317729
2002,1,-24.7984827625752
2002,2,-24.70715967635
2002,3,-19.7460148363056
2002,4,-11.9475235775233
2002,11,-14.1635838403056
2002,12,-17.2537983697653
2003,1,-25.7404569917917
2003,2,-23.9640581206605
2003,3,-19.5271922766821
2003,4,-6.5801199533542
2003,11,-18.2595723821037
2003,12,-22.9231809624036
2004,1,-29.6716795379711
2004,2,-23.6062621971639
2004,3,-20.9136368072033
2004,4,-9.01644418885931
2004,11,-18.7647768256627
2004,12,-26.435530494197
2005,1,-26.0678881557782
2005,2,-23.3822979297582
2005,3,-15.7566943671306
2005,4,-6.03539992600679
2005,11,-17.7994379498484
2005,12,-18.5841971733173
2006,1,-25.8433604203661
2006,2,-18.5770528411865
2006,3,-18.1152168670374
2006,4,-8.02711228040551
2006,11,-22.5238147867844
2006,12,-18.8994586867094
2007,1,-22.9407792351643
2007,2,-26.4822387978371
2007,3,-22.5213075333089
2007,4,-6.29361300528049
2007,11,-17.5674715996611
2007,12,-24.4852266312825
2008,1,-26.5710117717584
2008,2,-25.647385368878
2008,3,-20.0774330481266
2008,4,-8.34533594060767
2008,11,-15.9789005925755
2008,12,-26.8644041976457
2009,1,-26.4491906017562
2009,2,-23.8874774106619
2009,3,-22.3958073069652
2009,4,-7.60754377280673
2009,11,-17.3585380038926
2009,12,-22.9327885232866
2010,1,-25.3218098014593
2010,2,-19.2091811136405
2010,3,-13.6686358253161
2010,4,-2.09078404655059
2010,11,-14.887130253911
2010,12,-26.3070269409598
2011,1,-26.030566166242
2011,2,-22.3637457162763
2011,3,-18.4413282139879
2011,4,-10.4377550124625
2011,11,-21.2536195822184
2011,12,-20.9723216698567
2012,1,-26.6649482327451
2012,2,-18.3728976764282
2012,3,-20.1802015097563
2012,4,-7.23570513695478
2012,11,-21.1750822443352
2012,12,-28.3820136200575
2013,1,-27.144392029047
2013,2,-22.5609352863918
2013,3,-19.7405868027606
2013,4,-11.8898780403162
2013,11,-17.4659417036641
2013,12,-27.4529646627306
2014,1,-23.1604942274094
2014,2,-25.3516191630252
2014,3,-18.6676407835415
2014,4,-8.7258242770005
2014,11,-18.5279453435369
2014,12,-22.401226187249
2015,1,-24.3981463938951
2015,2,-22.9246787392836
2015,3,-15.9865144809087
2015,4,-6.38267924129963
2015,11,-15.5853312504292
2015,12,-22.5085840332508
2016,1,-20.4435500554244
2016,2,-21.1931191418568
2016,3,-14.4771099646886
2016,4,-7.63618678069674
2016,11,-15.1491621363163
2016,12,-24.6081548186764
2017,1,-21.3745576135317
2017,2,-21.1542307384809
2017,3,-19.5094440572336
2017,4,-8.6754134711662
2017,11,-19.9341220145269
2017,12,-20.1392427476247
2018,1,-23.1883403509855
2018,2,-22.3423746403058
2018,3,-16.6450386057297
2018,4,-9.71303612340552
2018,11,-16.8875298098987
2018,12,-19.9430709048112
2019,1,-25.07631842345
2019,2,-22.7458617801406
2019,3,-9.59660963714123
2019,4,-7.03606117430609
2019,11,-15.695882591481
2019,12,-25.5654802369078
2020,1,-27.7191161700307
2020,2,-24.3743083262319
2020,3,-18.7635838775182
2020,4,-8.49183146347292
2020,11,-18.6950662122938
2020,12,-22.1131951796015
2021,1,-22.462153129975
2021,2,-28.342286044568
2021,3,-19.2173975774529
2021,4,-9.44762491875639
2021,11,-16.9061943892452
2021,12,-27.2689387326005
2022,1,-26.4499011610945
2022,2,-25.414384178645
2022,3,-17.342401782771
2022,4,-9.73919695607619
2022,11,-15.8963807178785
2022,12,-26.0949591615175
2023,1,-20.5135614522298
2023,2,-25.4785850946679
2023,3,-17.7909361380929
2023,4,-7.1547798368459
2023,11,-13.0747754458586
2023,12,-17.9840488262971
