Year,Month,NW,CW,SW,NC,CC,SC,NE,CE,SE
2000,1,-26.34475573,-13.83393712,-2.77482018,-32.59184503,-21.97527957,-8.002338841,-27.18849828,-22.18877781,-9.590930268
2000,2,-20.75311945,-7.623931653,0.45719148,-29.80422656,-13.83611077,-2.862108303,-26.7119528,-19.61789027,-7.10932213
2000,3,-16.78335833,-1.774906741,3.165226799,-24.28331614,-5.713895999,3.285116609,-21.51289547,-10.00542821,-0.341567653
2000,4,-9.766987325,2.163939969,8.811280264,-18.4369337,-1.794921107,6.989479426,-13.00051957,-6.339786407,2.994278187
2000,5,0.063402061,6.223466604,11.90720667,-6.990702755,6.521302739,14.5672075,-7.412790482,1.644496841,9.728364295
2000,6,10.15746821,10.97106567,16.87325971,1.919293812,10.75011956,17.85616031,-0.907556356,7.073661026,14.52233147
2000,7,13.56577195,14.02252138,20.88853247,11.18663242,16.82161096,21.8085727,5.566000544,13.21164341,16.90348667
2000,8,8.234877273,11.99243623,21.18548249,7.800209788,15.03306861,21.82555876,4.61053326,12.70450885,17.1121214
2000,9,1.23527627,7.701396726,15.42538096,-1.11740519,7.691519052,16.05983119,-1.684398305,5.117749483,12.28066334
2000,10,-8.058305259,1.818080523,8.628924597,-10.57762788,2.024644733,10.02418151,-9.272988476,-1.911685014,6.581451562
2000,11,-17.37990163,-4.952313584,-1.321381058,-20.77111328,-9.223007425,-2.0423007,-13.38237049,-6.624986584,0.414389614
2000,12,-27.89250689,-13.3356412,-3.33630859,-30.66745856,-24.52027975,-12.04825862,-18.10092148,-16.49063097,-9.126857263
2001,1,-20.6255356,-6.269926744,-2.851952075,-31.26240934,-15.64306153,-6.396000578,-28.63869726,-22.50109625,-9.324640712
2001,2,-22.73674829,-10.33882516,-2.506059864,-31.48451468,-20.53330786,-9.060377883,-27.30313274,-21.26991964,-8.533344636
2001,3,-19.32615743,-3.035752473,4.018599355,-23.27654814,-8.445084176,-1.066334277,-18.88227956,-9.373184068,-4.07501446
2001,4,-7.88286363,2.728731681,6.341344705,-17.53668083,0.502591539,8.061365923,-14.79005921,-6.005641067,3.12735821
2001,5,-0.156449573,7.112405631,13.44449026,-5.5562469,9.20709316,14.7160441,-5.792836279,6.09540497,11.33086532
